Blog	increase	here	marketers	successful	example	want	feature	types	effective	series	re	service	engagement	metrics	best	much	life	things	had	easy	possible	steps	right	old	people	creative	support	happy	offer	resources	team	love	working	following	data	years	course	didn	internet	million	future	say	take	pages	drive	ways	going	where	sites	many	being	around	traffic	world	power	industry	image	her	ad	am	having	consider	small	past	full	experience	action	via	company	learn	information	its	always	found	advertisers	really	research	number	guest	also	plan	sometimes	impact	set	see	seo	last	community	optimization	person	amp	readers	d	anything	into	link	us	influence	ago	results	send	account	video	let	great	makes	tools	next	customer	clients	process	high	doing	could	should	email	ve	site	off	adwords	less	web	five	become	does	study	work	provide	after	order	then	them	network	campaigns	created	another	target	keywords	analytics	away	com	comments	months	way	was	test	together	change	live	topic	write	product	still	now	year	looking	shows	yourself	than	form	online	only	between	article	comes	these	real	read	using	start	lot	trying	sales	building	month	very	instagram	advertising	ask	help	actually	beyond	event	since	reason	put	launch	selling	mobile	pretty	probably	both	add	look	while	guide	ready	used	step	within	doesn	e	youtube	go	facebook	button	click	products	links	including	keep	quality	need	based	importance	key	problem	well	page	twitter	companies	even	tips	ever	never	campaign	call	tell	give	before	personal	better	mean	reader	isn	features	keyword	mind	seen	don	m	bad	testing	said	appeared	three	website	make	opportunity	practices	just	yet	popular	down	landing	digital	did	useful	sharing	making	may	grow	talk	nbsp	interesting	tweets	thing	think	first	long	little	were	few	track	paid	especially	show	enough	reading	across	according	shopping	those	different	pay	same	money	audience	images	videos	again	important	infographic	search	two	strategies	share	needs	through	someone	hard	idea	done	part	b	build	most	services	businesses	blogging	vine	fans	point	simple	create	understand	spend	big	bit	often	back	per	single	started	others	profile	ll	day	taking	value	linkedin	thought	ads	success	brands	buy	brand	every	changed	changes	would	must	me	my	times	end	over	writing	each	got	free	days	already	top	too	tool	talking	though	watch	report	however	news	improve	conference	been	everything	efforts	why	check	no	roi	focus	posts	says	today	insights	platform	offers	name	place	revenue	copy	any	conversion	ideas	sure	visitors	come	engine	case	good	author	week	without	when	blog	update	everyone	there	websites	follow	program	list	rate	design	pinterest	version	allows	options	short	might	generation	feel	story	reach	his	user	recently	creating	attention	reasons	strategy	questions	customers	question	users	once	include	find	app	use	something	instead	choose	related	our	which	who	goals	he	conversions	available	stories	job	book	know	because	lead	getting	own	apps	made	whether	below	other	june
Occam's Razor by Avinash Kaushik	0	0	3	1	0	0	1	0	0	0	0	0	0	8	1	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0	0	1	0	0	2	2	0	0	0	1	0	0	17	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	1	1	4	0	1	0	0	0	1	4	0	2	1	0	0	0	0	0	1	1	0	0	1	2	0	0	0	2	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	3	0	1	2	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	1	0	2	1	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	4	0	0	3	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	6	0	0	4	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	3	0	0	0	0	2	1	0	0	4	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	5
Email Marketing Tips	0	1	2	0	0	3	0	0	0	1	2	1	0	0	2	1	0	0	0	1	0	0	0	0	3	0	1	1	0	0	2	0	0	0	0	1	6	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	1	0	3	1	0	0	0	0	0	1	0	1	0	0	6	3	2	0	0	0	2	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	2	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	7	0	0	5	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	1	2	0	0	1	0	0	0	2	0	0	1	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	2	0	0	1	0	0	2	1	0	0	1	0	3	1	1	0	0	4	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	1	0	3	0	2	1	0	1	2	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	2	2	2	0	0	1	4	1	3	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0
The Buffer blog: productivity, life hacks, writing, user experience, customer happiness and business.	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	13	2	0	0	0	0	0	0	1	0	0	1	0	0	3	0	1	2	2	1	0	0	1	0	0	2	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	1	2	5	5	0	0	10	0	0	1	0	2	3	0	2	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	3	0	0	2	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	1	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	1	0	1	4	0	0	0	2	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	10	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	15	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	2	6	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2	2	2	1	1	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	8	1	2	0	0	0	2	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	2	13	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	10	0	0	0	0	0	1	0	2	0	0	0	0	0	2	1	0	0	0	5	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	1	0	2	0
Search Engine Watch - Category: seo	2	5	0	1	2	4	0	0	1	0	1	0	0	1	0	2	2	1	1	0	1	0	2	0	4	0	0	0	0	1	0	0	0	0	4	0	0	0	0	1	1	0	0	1	0	4	1	0	4	0	1	0	5	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	12	1	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	1	0	4	0	0	0	1	4	0	1	3	1	2	7	0	0	0	0	0	1	1	3	1	0	1	1	1	0	1	1	0	0	0	4	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	3	0	0	1	1	2	0	2	1	0	1	0	1	1	0	1	2	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	1	8	0	0	6	4	2	1	1	0	2	1	0	0	0	1	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	3	0	1	0	1	2	5	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	2	0	0	0	2	0	13	0	0	0	0	1	0	2	0	1	1	6	2	3	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	3	0	3	0	1	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	2	0	1	1	0	1	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	4	0	2	0	0	0	2	0	0	1	1	0	1	0	0	2	2	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0
Andrea Vahl	1	2	1	0	0	4	0	0	0	0	2	0	0	0	2	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	4	0	1	0	1	0	1	1	0	0	0	0	0	0	2	1	1	0	1	1	0	0	0	1	0	0	0	2	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	2	2	0	2	0	0	1	0	0	0	0	2	2	2	0	1	2	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	28	0	0	0	0	0	0	0	1	0	0	0	0	2	8	0	0	1	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	2	0	0	0	2	0	2	1	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	4	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	2	0	0	4	3	0	0	0	1	3	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	5	1	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	0	0	0
The Content Strategist	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	4	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
Social Media & Corporate Branding Strategist, Business Coach, Social Media Training, Social Media Speaker | KimGarst.com	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	2	1	2	0	0	4	0	5	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	4	0	0	1	0	0	0	0	0	0	1	0	0	0	10	0	0	1	1	0	4	0	0	1	0	0	0	0	2	0	3	0	0	1	1	2	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	1	0	1	10	0	0	1	0	0	0	0	0	0	0	1	0	2	4	0	0	0	1	0	2	1	0	0	0	0	1	10	2	0	0	1	0	1	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	11	2	0	0	0	0	2	0	1	0	0	2	0	1	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	0	0	0	10	0	0	3	0	0	4	1	0	2	0	0	0	0	2	0	2	2	0	0	1	0	0	1	10	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	1	4	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	2	0	0	1	0	1	0	0	0	2	1	5	0	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0
MailChimp Email Marketing Blog	0	4	0	0	0	0	1	0	0	1	4	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	1	1	0	0	0	0	1	2	0	3	0	2	1	1	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	1	0	2	0	0	1	0	0	1	0	3	0	1	1	1	0	2	0	0	1	0	0	1	1	0	0	1	0	0	3	0	6	5	0	0	0	0	0	0	0	0	0	4	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	1	2	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	2	1	0	2	0	1	0	1	0	3	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	1	3	0	0	2	1	1	0	0	0	0	9	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	1	0
SEER Interactive	0	0	0	0	0	5	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	0	1	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	3	0	1	0	0	1	2	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	1	1	0	2	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	3	2	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	0	1	0	0	1	0	1	0	0	0	2	3	1	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	1	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	3	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	4	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0
